file,type,count,samples
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track30\Track30.common.ovl,tks,34,"45Straight2Steepslope; MedslopeChain; 45Steepslope2Straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track30\Track30.unique.ovl,tks,34,"45Straight2Steepslope; MedslopeChain; 45Steepslope2Straight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track31\Track31.common.ovl,tks,32,"Helixlargeupright; Helixsmallupleft; Medslopedown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track31\Track31.unique.ovl,tks,32,"Helixlargeupright; Helixsmallupleft; Medslopedown"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track32\Track32.common.ovl,tks,99,"InvSteepSlopeMedCurveRight; 45InvMedslope2Steepslope; 45InvStraight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track32\Track32.unique.ovl,tks,99,"InvSteepSlopeMedCurveRight; 45InvMedslope2Steepslope; 45InvStraight"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track33\Track33_CT.common.ovl,tks,58,"invstraight2medslopeDown; vertical2straightdown; invhalfloopmedium"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track33\Track33_CT.unique.ovl,tks,58,"invstraight2medslopeDown; vertical2straightdown; invhalfloopmedium"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track34\Track34.common.ovl,tks,394,"Sbendright_l; Straight2medslopetiltleftjoined; Medslopeloosecurverightjoined_r"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track34\Track34.unique.ovl,tks,394,"Sbendright_l; Straight2medslopetiltleftjoined; Medslopeloosecurverightjoined_r"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track35\Track35.common.ovl,tks,43,"TowerCap; LargeLoopLeft; VerticalTowerUp"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track35\Track35.unique.ovl,tks,43,"TowerCap; LargeLoopLeft; VerticalTowerUp"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track36\Track36.common.ovl,tks,85,"Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track36\Track36.unique.ovl,tks,85,"Steepslopemedcurveright; Steepslopetightcurveleft; Medslopechain"
..\..\..\..\Steam\steamapps\common\RollerCoaster Tycoon 3 Complete Edition\tracks\coasters\Track4\Track4.common.ovl,tks,27,"Medcurve; Medcurvecapped; Medslope2steepslope"
