file,shs_entries,sample_symbols,crash
Path\Crazy\Crazy_Slope.unique.ovl,3,Crazy_Slope|Crazy_Slope_Low|Crazy_Slope_Med,
Path\Crazy\Crazy_Slope_Mid.common.ovl,3,Crazy_Slope_Mid|Crazy_Slope_Mid_Low|Crazy_Slope_Mid_Med,
Path\Crazy\Crazy_Slope_Mid.unique.ovl,3,Crazy_Slope_Mid|Crazy_Slope_Mid_Low|Crazy_Slope_Mid_Med,
Path\Crazy\Crazy_Slope_Straight.common.ovl,3,Crazy_Slope_Straight|Crazy_Slope_Straight_Low|Crazy_Slope_Straight_Med,
Path\Crazy\Crazy_Slope_Straight.unique.ovl,3,Crazy_Slope_Straight|Crazy_Slope_Straight_Low|Crazy_Slope_Straight_Med,
Path\Crazy\Crazy_Slope_Straight_left.common.ovl,3,Crazy_Slope_Straight_left|Crazy_Slope_Straight_left_Low|Crazy_Slope_Straight_left_Med,
Path\Crazy\Crazy_Slope_Straight_left.unique.ovl,3,Crazy_Slope_Straight_left|Crazy_Slope_Straight_left_Low|Crazy_Slope_Straight_left_Med,
Path\Crazy\Crazy_Slope_Straight_Right.common.ovl,3,Crazy_Slope_Straight_Right|Crazy_Slope_Straight_Right_Low|Crazy_Slope_Straight_Right_Med,
Path\Crazy\Crazy_Slope_Straight_Right.unique.ovl,3,Crazy_Slope_Straight_Right|Crazy_Slope_Straight_Right_Low|Crazy_Slope_Straight_Right_Med,
Path\Crazy\Crazy_Straight_A.common.ovl,3,Crazy_Straight_A|Crazy_Straight_A_Low|Crazy_Straight_A_Med,
Path\Crazy\Crazy_Straight_A.unique.ovl,3,Crazy_Straight_A|Crazy_Straight_A_Low|Crazy_Straight_A_Med,
Path\Crazy\Crazy_Straight_B.common.ovl,3,Crazy_Straight_B|Crazy_Straight_B_Low|Crazy_Straight_B_Med,
Path\Crazy\Crazy_Straight_B.unique.ovl,3,Crazy_Straight_B|Crazy_Straight_B_Low|Crazy_Straight_B_Med,
Path\Crazy\Crazy_Turn_L_A.common.ovl,3,Crazy_Turn_L_A|Crazy_Turn_L_A_Low|Crazy_Turn_L_A_Med,
Path\Crazy\Crazy_Turn_L_A.unique.ovl,3,Crazy_Turn_L_A|Crazy_Turn_L_A_Low|Crazy_Turn_L_A_Med,
Path\Crazy\Crazy_Turn_L_B.common.ovl,3,Crazy_Turn_L_B|Crazy_Turn_L_B_Low|Crazy_Turn_L_B_Med,
Path\Crazy\Crazy_Turn_L_B.unique.ovl,3,Crazy_Turn_L_B|Crazy_Turn_L_B_Low|Crazy_Turn_L_B_Med,
Path\Crazy\Crazy_Turn_T_A.common.ovl,3,Crazy_Turn_T_A|Crazy_Turn_T_A_Low|Crazy_Turn_T_A_Med,
Path\Crazy\Crazy_Turn_T_A.unique.ovl,3,Crazy_Turn_T_A|Crazy_Turn_T_A_Low|Crazy_Turn_T_A_Med,
Path\Crazy\Crazy_Turn_T_B.common.ovl,3,Crazy_Turn_T_B|Crazy_Turn_T_B_Low|Crazy_Turn_T_B_Med,
Path\Crazy\Crazy_Turn_T_B.unique.ovl,3,Crazy_Turn_T_B|Crazy_Turn_T_B_Low|Crazy_Turn_T_B_Med,
Path\Crazy\Crazy_Turn_T_C.common.ovl,3,Crazy_Turn_T_C|Crazy_Turn_T_C_Low|Crazy_Turn_T_C_Med,
Path\Crazy\Crazy_Turn_T_C.unique.ovl,3,Crazy_Turn_T_C|Crazy_Turn_T_C_Low|Crazy_Turn_T_C_Med,
Path\Crazy\Crazy_Turn_U.common.ovl,3,Crazy_Turn_U|Crazy_Turn_U_Low|Crazy_Turn_U_Med,
Path\Crazy\Crazy_Turn_U.unique.ovl,3,Crazy_Turn_U|Crazy_Turn_U_Low|Crazy_Turn_U_Med,
Path\Crazy\Crazy_Turn_X.common.ovl,3,Crazy_Turn_X|Crazy_Turn_X_Low|Crazy_Turn_X_Med,
Path\Crazy\Crazy_Turn_X.unique.ovl,3,Crazy_Turn_X|Crazy_Turn_X_Low|Crazy_Turn_X_Med,
Path\Dirt\Dirt_Corner_A.common.ovl,3,DirtCornerAHi|DirtCornerALow|DirtCornerAMed,
Path\Dirt\Dirt_Corner_A.unique.ovl,3,DirtCornerAHi|DirtCornerALow|DirtCornerAMed,
Path\Dirt\Dirt_Corner_B.common.ovl,3,DirtCornerBHi|DirtCornerBLow|DirtCornerBMed,
Path\Dirt\Dirt_Corner_B.unique.ovl,3,DirtCornerBHi|DirtCornerBLow|DirtCornerBMed,
Path\Dirt\Dirt_Corner_C.common.ovl,3,DirtCornerCHi|DirtCornerCLow|DirtCornerCMed,
Path\Dirt\Dirt_Corner_C.unique.ovl,3,DirtCornerCHi|DirtCornerCLow|DirtCornerCMed,
Path\Dirt\Dirt_Corner_D.common.ovl,3,DirtCornerDHi|DirtCornerDLow|DirtCornerDMed,
Path\Dirt\Dirt_Corner_D.unique.ovl,3,DirtCornerDHi|DirtCornerDLow|DirtCornerDMed,
Path\Dirt\Dirt_Flat.common.ovl,3,DirtFlatHi|DirtFlatLow|DirtFlatMed,
Path\Dirt\Dirt_Flat.unique.ovl,3,DirtFlatHi|DirtFlatLow|DirtFlatMed,
Path\Dirt\Dirt_Slope.common.ovl,3,DirtSlopeHi|DirtSlopeLow|DirtSlopeMed,
Path\Dirt\Dirt_Slope.unique.ovl,3,DirtSlopeHi|DirtSlopeLow|DirtSlopeMed,
Path\Dirt\Dirt_Slope_Mid.common.ovl,3,Dirt_Slope_Mid|Dirt_Slope_Mid_Low|Dirt_Slope_Mid_Med,
Path\Dirt\Dirt_Slope_Mid.unique.ovl,3,Dirt_Slope_Mid|Dirt_Slope_Mid_Low|Dirt_Slope_Mid_Med,
Path\Dirt\Dirt_Slope_Straight.common.ovl,3,Dirt_Slope_Straight|Dirt_Slope_Straight_Low|Dirt_Slope_Straight_Med,
Path\Dirt\Dirt_Slope_Straight.unique.ovl,3,Dirt_Slope_Straight|Dirt_Slope_Straight_Low|Dirt_Slope_Straight_Med,
Path\Dirt\Dirt_Slope_Straight_left.common.ovl,3,Dirt_Slope_Straight_left|Dirt_Slope_Straight_left_Low|Dirt_Slope_Straight_left_Med,
Path\Dirt\Dirt_Slope_Straight_left.unique.ovl,3,Dirt_Slope_Straight_left|Dirt_Slope_Straight_left_Low|Dirt_Slope_Straight_left_Med,
Path\Dirt\Dirt_Slope_Straight_Right.common.ovl,3,Dirt_Slope_Straight_Right|Dirt_Slope_Straight_Right_Low|Dirt_Slope_Straight_Right_Med,
Path\Dirt\Dirt_Slope_Straight_Right.unique.ovl,3,Dirt_Slope_Straight_Right|Dirt_Slope_Straight_Right_Low|Dirt_Slope_Straight_Right_Med,
Path\Dirt\Dirt_Straight_A.common.ovl,3,DirtStraightAHi|DirtStraightALow|DirtStraightAMed,
Path\Dirt\Dirt_Straight_A.unique.ovl,3,DirtStraightAHi|DirtStraightALow|DirtStraightAMed,
Path\Dirt\Dirt_Straight_B.common.ovl,3,DirtStraightBHi|DirtStraightBLow|DirtStraightBMed,
Path\Dirt\Dirt_Straight_B.unique.ovl,3,DirtStraightBHi|DirtStraightBLow|DirtStraightBMed,
Path\Dirt\Dirt_Turn_L_A.common.ovl,3,DirtTurnLAHi|DirtTurnLALow|DirtTurnLAMed,
Path\Dirt\Dirt_Turn_L_A.unique.ovl,3,DirtTurnLAHi|DirtTurnLALow|DirtTurnLAMed,
Path\Dirt\Dirt_Turn_L_B.common.ovl,3,DirtTurnLBHi|DirtTurnLBLow|DirtTurnLBMed,
Path\Dirt\Dirt_Turn_L_B.unique.ovl,3,DirtTurnLBHi|DirtTurnLBLow|DirtTurnLBMed,
Path\Dirt\Dirt_Turn_T_A.common.ovl,3,DirtTurnTAHi|DirtTurnTALow|DirtTurnTAMed,
Path\Dirt\Dirt_Turn_T_A.unique.ovl,3,DirtTurnTAHi|DirtTurnTALow|DirtTurnTAMed,
Path\Dirt\Dirt_Turn_T_B.common.ovl,3,DirtTurnTBHi|DirtTurnTBLow|DirtTurnTBMed,
Path\Dirt\Dirt_Turn_T_B.unique.ovl,3,DirtTurnTBHi|DirtTurnTBLow|DirtTurnTBMed,
Path\Dirt\Dirt_Turn_T_C.common.ovl,3,DirtTurnTCHi|DirtTurnTCLow|DirtTurnTCMed,
Path\Dirt\Dirt_Turn_T_C.unique.ovl,3,DirtTurnTCHi|DirtTurnTCLow|DirtTurnTCMed,
Path\Dirt\Dirt_Turn_U.common.ovl,3,DirtTurnUHi|DirtTurnULow|DirtTurnUMed,
Path\Dirt\Dirt_Turn_U.unique.ovl,3,DirtTurnUHi|DirtTurnULow|DirtTurnUMed,
Path\Dirt\Dirt_Turn_X.common.ovl,3,DirtTurnXHi|DirtTurnXLow|DirtTurnXMed,
Path\Dirt\Dirt_Turn_X.unique.ovl,3,DirtTurnXHi|DirtTurnXLow|DirtTurnXMed,
Path\Leafy\LeafyCornerA.common.ovl,3,LeafyCornerAHi|LeafyCornerALow|LeafyCornerAMed,
Path\Leafy\LeafyCornerA.unique.ovl,3,LeafyCornerAHi|LeafyCornerALow|LeafyCornerAMed,
Path\Leafy\LeafyCornerB.common.ovl,3,LeafyCornerBHi|LeafyCornerBLow|LeafyCornerBMed,
Path\Leafy\LeafyCornerB.unique.ovl,3,LeafyCornerBHi|LeafyCornerBLow|LeafyCornerBMed,
Path\Leafy\LeafyCornerC.common.ovl,3,LeafyCornerCHi|LeafyCornerCLow|LeafyCornerCMed,
Path\Leafy\LeafyCornerC.unique.ovl,3,LeafyCornerCHi|LeafyCornerCLow|LeafyCornerCMed,
Path\Leafy\LeafyCornerD.common.ovl,3,LeafyCornerDHi|LeafyCornerDLow|LeafyCornerDMed,
Path\Leafy\LeafyCornerD.unique.ovl,3,LeafyCornerDHi|LeafyCornerDLow|LeafyCornerDMed,
Path\Leafy\LeafyFlat.common.ovl,3,LeafyFlatHi|LeafyFlatLow|LeafyFlatMed,
Path\Leafy\LeafyFlat.unique.ovl,3,LeafyFlatHi|LeafyFlatLow|LeafyFlatMed,
Path\Leafy\LeafySlope.common.ovl,3,LeafySlopeHi|LeafySlopeLow|LeafySlopeMed,
Path\Leafy\LeafySlope.unique.ovl,3,LeafySlopeHi|LeafySlopeLow|LeafySlopeMed,
Path\Leafy\LeafySlopeMid.common.ovl,3,LeafySlopeMid|LeafySlopeMidLow|LeafySlopeMidMed,
Path\Leafy\LeafySlopeMid.unique.ovl,3,LeafySlopeMid|LeafySlopeMidLow|LeafySlopeMidMed,
Path\Leafy\LeafySlopeStraight.common.ovl,3,LeafySlopeStraight|LeafySlopeStraightLow|LeafySlopeStraightMed,
Path\Leafy\LeafySlopeStraight.unique.ovl,3,LeafySlopeStraight|LeafySlopeStraightLow|LeafySlopeStraightMed,
Path\Leafy\LeafySlopeStraightleft.common.ovl,3,LeafySlopeStraightleft|LeafySlopeStraightleftLow|LeafySlopeStraightleftMed,
Path\Leafy\LeafySlopeStraightleft.unique.ovl,3,LeafySlopeStraightleft|LeafySlopeStraightleftLow|LeafySlopeStraightleftMed,
Path\Leafy\LeafySlopeStraightRight.common.ovl,3,LeafySlopeStraightRight|LeafySlopeStraightRightLow|LeafySlopeStraightRightMed,
Path\Leafy\LeafySlopeStraightRight.unique.ovl,3,LeafySlopeStraightRight|LeafySlopeStraightRightLow|LeafySlopeStraightRightMed,
Path\Leafy\LeafyStraightA.common.ovl,3,LeafyStraightAHi|LeafyStraightALow|LeafyStraightAMed,
Path\Leafy\LeafyStraightA.unique.ovl,3,LeafyStraightAHi|LeafyStraightALow|LeafyStraightAMed,
Path\Leafy\LeafyStraightB.common.ovl,3,LeafyStraightBHi|LeafyStraightBLow|LeafyStraightBMed,
Path\Leafy\LeafyStraightB.unique.ovl,3,LeafyStraightBHi|LeafyStraightBLow|LeafyStraightBMed,
Path\Leafy\LeafyTurnLA.common.ovl,3,LeafyTurnLAHi|LeafyTurnLALow|LeafyTurnLAMed,
Path\Leafy\LeafyTurnLA.unique.ovl,3,LeafyTurnLAHi|LeafyTurnLALow|LeafyTurnLAMed,
Path\Leafy\LeafyTurnLB.common.ovl,3,LeafyTurnLBHi|LeafyTurnLBLow|LeafyTurnLBMed,
Path\Leafy\LeafyTurnLB.unique.ovl,3,LeafyTurnLBHi|LeafyTurnLBLow|LeafyTurnLBMed,
Path\Leafy\LeafyTurnTA.common.ovl,3,LeafyTurnTAHi|LeafyTurnTALow|LeafyTurnTAMed,
Path\Leafy\LeafyTurnTA.unique.ovl,3,LeafyTurnTAHi|LeafyTurnTALow|LeafyTurnTAMed,
Path\Leafy\LeafyTurnTB.common.ovl,3,LeafyTurnTBHi|LeafyTurnTBLow|LeafyTurnTBMed,
Path\Leafy\LeafyTurnTB.unique.ovl,3,LeafyTurnTBHi|LeafyTurnTBLow|LeafyTurnTBMed,
