file,decoded,ftx_entries,crash
Characters\BobWaterman\BobW.common.ovl,0,0,
Characters\BobWaterman\BobWaterman.common.ovl,0,0,
Characters\BobWaterman\BobW_All.common.ovl,2,0,
Characters\BobWaterman\BobW_Body_Main.common.ovl,0,0,
Characters\BobWaterman\BobW_Body_Stub.common.ovl,0,0,
Characters\BobWaterman\BobW_Head_Main.common.ovl,0,0,
Characters\BobWaterman\BobW_Head_Stub.common.ovl,0,0,
Characters\BobWaterman\BobW_Legs_Main.common.ovl,0,0,
Characters\BobWaterman\BobW_Legs_Stub.common.ovl,0,0,
Characters\BobWaterman\BobW_SwimSuitBody_Main.common.ovl,0,0,
Characters\BobWaterman\BobW_SwimSuitBody_Stub.common.ovl,0,0,
Characters\BobWaterman\BobW_SwimSuitLegs_Main.common.ovl,0,0,
Characters\BobWaterman\BobW_SwimSuitLegs_Stub.common.ovl,0,0,
Characters\CF\CF01.common.ovl,0,0,
Characters\CF\CF01_Head_Main.common.ovl,0,0,
Characters\CF\CF01_Head_Stub.common.ovl,0,0,
Characters\CF\CF01_Inflatable.common.ovl,2,0,
Characters\CF\CF01_Skin.common.ovl,2,0,
Characters\CF\CF01_SwimSuit.common.ovl,2,0,
Characters\CF\CF01_SwimSuitBody_Main.common.ovl,0,0,
Characters\CF\CF01_SwimSuitBody_Stub.common.ovl,0,0,
Characters\CF\CF01_SwimSuitLegs1_Main.common.ovl,0,0,
Characters\CF\CF01_SwimSuitLegs1_Stub.common.ovl,0,0,
Characters\CF\CF01_SwimSuitLegs2_Main.common.ovl,0,0,
Characters\CF\CF01_SwimSuitLegs2_Stub.common.ovl,0,0,
Characters\CF\CF04.common.ovl,0,0,
Characters\CF\CF04_Body_Main.common.ovl,2,0,
Characters\CF\CF04_Body_Stub.common.ovl,0,0,
Characters\CF\CF04_Head_Main.common.ovl,0,0,
Characters\CF\CF04_Head_Stub.common.ovl,0,0,
Characters\CF\CF04_Legs_Main.common.ovl,2,0,
Characters\CF\CF04_Legs_Stub.common.ovl,0,0,
Characters\CF\CF04_Skin.common.ovl,2,0,
Characters\CF\CF05.common.ovl,0,0,
Characters\CF\CF05_Head_Main.common.ovl,0,0,
Characters\CF\CF05_Head_Stub.common.ovl,0,0,
Characters\CF\CF05_Legs_Main.common.ovl,2,0,
Characters\CF\CF05_Legs_Stub.common.ovl,0,0,
Characters\CF\CF05_Skin.common.ovl,2,0,
Characters\CF\CF06.common.ovl,0,0,
Characters\CF\CF06_Body_Main.common.ovl,2,0,
Characters\CF\CF06_Body_Stub.common.ovl,0,0,
